S No,User,Analysis On,Total Question,Correct,Incorrect Or Not Attempted
1,goravchaurasia,subject: Mathematics,20,3,17
1,goravchaurasia,topic: Parity,2,1,1
1,goravchaurasia,subtopic: Logical Thinking,2,1,1
1,goravchaurasia,skill: Parity,2,1,1
1,goravchaurasia,dificulty: Medium,8,2,6
1,goravchaurasia,dificulty: Easy,8,1,7
1,goravchaurasia,topic: Pigeonhole Principle,2,1,1
1,goravchaurasia,subtopic: Combinatorics,8,2,6
1,goravchaurasia,skill: Pigeonhole Principle,2,1,1
1,goravchaurasia,dificulty: Hard,4,0,4
1,goravchaurasia,topic: Graph theory,1,0,1
1,goravchaurasia,skill: Graph Theory,1,0,1
1,goravchaurasia,topic: Set Theory,2,0,2
1,goravchaurasia,skill: Set Theory,2,0,2
1,goravchaurasia,topic: Elementary Algebra,1,0,1
1,goravchaurasia,subtopic: Algebra,4,0,4
1,goravchaurasia,skill: Elementary Algebra,1,0,1
1,goravchaurasia,topic: Divisibility,2,0,2
1,goravchaurasia,subtopic: Number Theory,2,0,2
1,goravchaurasia,skill: Divisibility,2,0,2
1,goravchaurasia,topic: Triginometry,1,0,1
1,goravchaurasia,subtopic: Geometry,1,0,1
1,goravchaurasia,skill: Trigonometry,1,0,1
1,goravchaurasia,topic: Probability,1,0,1
1,goravchaurasia,skill: Probability,1,0,1
1,goravchaurasia,topic: Game Theory,2,1,1
1,goravchaurasia,skill: Game Theory,2,1,1
1,goravchaurasia,topic: Application of derivatives,3,0,3
1,goravchaurasia,subtopic: Calculus,3,0,3
1,goravchaurasia,skill: Application of derivatives,3,0,3
1,goravchaurasia,topic: Linear Programming,3,0,3
1,goravchaurasia,skill: Linear Programming,3,0,3
2,dasguptasayon2020,subject: Mathematics,20,9,11
2,dasguptasayon2020,topic: Parity,2,1,1
2,dasguptasayon2020,subtopic: Logical Thinking,2,1,1
2,dasguptasayon2020,skill: Parity,2,1,1
2,dasguptasayon2020,dificulty: Medium,8,2,6
2,dasguptasayon2020,dificulty: Easy,8,6,2
2,dasguptasayon2020,topic: Pigeonhole Principle,2,0,2
2,dasguptasayon2020,subtopic: Combinatorics,8,4,4
2,dasguptasayon2020,skill: Pigeonhole Principle,2,0,2
2,dasguptasayon2020,dificulty: Hard,4,1,3
2,dasguptasayon2020,topic: Graph theory,1,0,1
2,dasguptasayon2020,skill: Graph Theory,1,0,1
2,dasguptasayon2020,topic: Set Theory,2,2,0
2,dasguptasayon2020,skill: Set Theory,2,2,0
2,dasguptasayon2020,topic: Elementary Algebra,1,1,0
2,dasguptasayon2020,subtopic: Algebra,4,1,3
2,dasguptasayon2020,skill: Elementary Algebra,1,1,0
2,dasguptasayon2020,topic: Divisibility,2,2,0
2,dasguptasayon2020,subtopic: Number Theory,2,2,0
2,dasguptasayon2020,skill: Divisibility,2,2,0
2,dasguptasayon2020,topic: Triginometry,1,0,1
2,dasguptasayon2020,subtopic: Geometry,1,0,1
2,dasguptasayon2020,skill: Trigonometry,1,0,1
2,dasguptasayon2020,topic: Probability,1,1,0
2,dasguptasayon2020,skill: Probability,1,1,0
2,dasguptasayon2020,topic: Game Theory,2,1,1
2,dasguptasayon2020,skill: Game Theory,2,1,1
2,dasguptasayon2020,topic: Application of derivatives,3,1,2
2,dasguptasayon2020,subtopic: Calculus,3,1,2
2,dasguptasayon2020,skill: Application of derivatives,3,1,2
2,dasguptasayon2020,topic: Linear Programming,3,0,3
2,dasguptasayon2020,skill: Linear Programming,3,0,3
3,chirag05122000,subject: Mathematics,20,9,11
3,chirag05122000,topic: Parity,2,0,2
3,chirag05122000,subtopic: Logical Thinking,2,0,2
3,chirag05122000,skill: Parity,2,0,2
3,chirag05122000,dificulty: Medium,10,4,6
3,chirag05122000,topic: Pigeonhole Principle,2,1,1
3,chirag05122000,subtopic: Combinatorics,8,5,3
3,chirag05122000,skill: Pigeonhole Principle,2,1,1
3,chirag05122000,topic: Graph theory,1,1,0
3,chirag05122000,skill: Graph Theory,1,1,0
3,chirag05122000,dificulty: Hard,5,2,3
3,chirag05122000,topic: Set Theory,2,1,1
3,chirag05122000,skill: Set Theory,2,1,1
3,chirag05122000,topic: Linear inequations,1,0,1
3,chirag05122000,subtopic: Algebra,4,0,4
3,chirag05122000,skill: Linear inequations,1,0,1
3,chirag05122000,dificulty: Easy,5,3,2
3,chirag05122000,topic: Divisibility,2,2,0
3,chirag05122000,subtopic: Number Theory,2,2,0
3,chirag05122000,skill: Divisibility,2,2,0
3,chirag05122000,topic: Triginometry,1,0,1
3,chirag05122000,subtopic: Geometry,1,0,1
3,chirag05122000,skill: Trigonometry,1,0,1
3,chirag05122000,topic: Probability,1,0,1
3,chirag05122000,skill: Probability,1,0,1
3,chirag05122000,topic: Game Theory,2,2,0
3,chirag05122000,skill: Game Theory,2,2,0
3,chirag05122000,topic: Application of derivatives,3,2,1
3,chirag05122000,subtopic: Calculus,3,2,1
3,chirag05122000,skill: Application of derivatives,3,2,1
3,chirag05122000,topic: Linear Programming,3,0,3
3,chirag05122000,skill: Linear Programming,3,0,3
4,Kamaljitmittal7637,subject: Mathematics,20,7,13
4,Kamaljitmittal7637,topic: Parity,2,2,0
4,Kamaljitmittal7637,subtopic: Logical Thinking,2,2,0
4,Kamaljitmittal7637,skill: Parity,2,2,0
